id,pH,Sodium,Magnesium,Calcium,Chloride,Potassium,Carbonate,Sulphate,TDS,EC,TH,WQI,Potability
L1,7.26,77.51,32.55,81.4,63.55,1.95,419.68,68.16,640,1045,338,70.51,0
L2,7.54,36.11,31.1,42.4,19.53,1.56,273.28,57.12,400,645,234,48.31,1
L3,7.66,119.37,19,58.2,60.71,1.17,195.2,220.8,640,998,224,55.70,0
L4,5.98,117.07,29.65,145.4,37.28,2.73,580.72,190.08,950,1516,486,97.02,0
L5,7.02,45.08,23.35,49.6,23.43,1.17,248.88,74.88,410,658,220,46.45,1
L6,6.97,73.37,33.03,50.4,35.15,2.34,346.48,83.04,540,875,262,58.79,0
L7,7.16,121.9,29.65,67.8,47.22,1.17,195.2,310.08,740,1153,292,63.31,0
L8,7.34,54.05,16.58,56.6,24.5,1.17,297.68,45.12,420,676,210,48.35,1
L9,7.27,55.2,25.29,68.6,45.09,1.95,307.44,74.88,510,817,276,57.01,0
L10,7.21,59.8,32.55,57.4,31.24,3.12,341.6,80.16,530,848,278,59.62,0
L11,7.58,64.63,30.61,44.8,27.34,2.73,307.44,81.12,490,786,238,54.51,0
L12,7.13,80.96,27.71,98.2,66.74,1.95,458.72,60,680,1098,360,74.68,0
L13,7.36,23.23,34,42.4,15.62,1.17,263.52,52.8,370,613,246,47.11,1
L14,7.22,62.1,26.26,55.2,32.31,1.56,326.96,61.92,490,788,246,54.58,0
L15,7.31,37.95,20.45,68.6,29.47,1.56,307.44,39.84,430,698,256,52.13,0
L16,7.26,67.39,21.9,63,27.34,1.56,297.68,104.16,510,815,248,54.66,0
L17,7.35,82.57,14.64,40.8,29.47,1.56,263.52,79.2,440,706,162,45.76,1
L18,7.32,25.99,9.68,39.2,13.85,0.78,180.56,24.96,250,402,138,32.45,1
L19,7.43,32.2,7.74,48,22.72,0.78,195.2,26.88,280,458,152,35.47,1
L20,7.51,41.4,7.74,46.4,14.56,1.17,195.2,52.8,310,494,148,36.59,1
L21,7.47,114.77,24.32,81.4,47.22,1.56,258.64,260.16,730,1143,304,66.46,0
L22,7.44,28.29,8.71,41.6,15.62,0.78,185.44,24,260,417,140,33.26,1
L23,7.33,105.8,20.45,59,34.44,1.17,278.16,172.8,610,962,232,57.06,0
L24,7.46,21.85,10.65,47.2,10.65,0.78,204.96,23.04,270,434,162,35.57,1
L25,7.07,46.92,21.42,60.6,31.24,1.56,287.92,57.12,440,707,240,50.64,0
L26,7.32,33.81,7.74,52,16.69,0.78,165.92,70.08,310,490,162,35.90,1
